	doc_name	era	doc_word_count	new_split	keep_doc	split
17	العصر-العباسي_الأحنف-العكبري_وإذا-تضايق-باب-رزقك_001	العصر-العباسي	29	test	True	train
24	العصر-العباسي_خالد-الكاتب_لقد-أذاب-الكبدا_001	العصر-العباسي	24	dev	True	test
41	العصر-العثماني_عبد-الغني-النابلسي_قل-هو-الله-أحد_001	العصر-العثماني	36	test	True	train
100	العصر-الأندلسي_ظافر-الحداد_يا-من-نصيبي-منه-قر_001	العصر-الأندلسي	32	train	True	train
115	العصر-العباسي_الأحنف-العكبري_الصبر-في-الحر-مر_001	العصر-العباسي	29	train	True	train
123	العصر-الاموي_الحارث-المخزومي_ما-ضركم-لو-قلتم-سددا_001	العصر-الاموي	31	train	True	test
147	العصر-المملوكي_الشريف-العقيلي_يا-من-سجيته-الندى_001	العصر-المملوكي	30	test	True	train
149	العصر-العباسي_ابو-نواس_يا-سليمان-غنني_001	العصر-العباسي	31	train	True	train
156	العصر-الاموي_ليلى-العامرية_كلانا-مظهر-للناس-بغضا_001	العصر-الاموي	36	train	True	train
194	العصر-الايوبي_المكزون-السنجاري_وعيدي-من-مخلوف_001	العصر-الايوبي	31	dev	True	test
204	العصر-العباسي_أبو-بكر-الخالدي_يا-شبيه-البدر-حسنا_001	العصر-العباسي	24	train	True	test
207	العصر-العباسي_خالد-الكاتب_هل-يرد-العذل-للشوق_001	العصر-العباسي	31	train	True	train
220	العصر-الايوبي_القاضي-الفاضل_إني-فقدت-أحبتي-نظرا_001	العصر-الايوبي	35	train	True	train
273	العصر-الأندلسي_الميكالي_يا-جميل-الظن-بالأيام_001	العصر-الأندلسي	34	train	True	train
277	العصر-الأندلسي_أبو-بكر-بن-القوطية_وحالك-اللون-كلون-المسك_001	العصر-الأندلسي	30	train	True	dev
299	العصر-الايوبي_محيي-الدين-بن-عربي_من-لي-بمن-أرتضيه_001	العصر-الايوبي	31	test	True	test
384	العصر-العباسي_أبو-الفتح-البستي_الدهر-يلعب-بالفتى_001	العصر-العباسي	27	train	True	train
410	العصر-العباسي_أبو-فراس-الحمداني_نبوة-الإدلال-ليست_001	العصر-العباسي	31	train	True	train
484	العصر-العثماني_الامير-منجك-باشا_إني-لأقسم-بالعيو_001	العصر-العثماني	28	train	True	dev
486	العصر-العباسي_خالد-الكاتب_قد-جل-في-الحب-أمري_001	العصر-العباسي	27	train	True	train
505	العصر-العباسي_خالد-الكاتب_نفدت-عبرتي-فهل_001	العصر-العباسي	25	train	True	dev
507	العصر-المملوكي_الشريف-العقيلي_صان-قناع-القنوع-وجهي_001	العصر-المملوكي	32	train	True	train
575	العصر-الاموي_أبو-وجزة-السعدي_تربع-أنهي-الرنقاء-حتى_001	العصر-الاموي	32	train	True	test
577	العصر-الأندلسي_ابن-زيدون_أنت-معنى-الضنى-وسر-الدموع_001	العصر-الأندلسي	34	train	True	train
594	العصر-الأندلسي_ابن-خاتمة-الأندلسي_استفز-الأنام-مرآه_001	العصر-الأندلسي	33	test	True	train
603	العصر-المملوكي_بهاء-الدين-زهير_وثقيل-إذا-بدا_001	العصر-المملوكي	32	train	True	train
625	العصر-العباسي_الخبز-أرزي_أيها-الانسان-صبرا_001	العصر-العباسي	29	train	True	train
629	العصر-العباسي_خالد-الكاتب_نفسي-فداؤك-يا-من_001	العصر-العباسي	27	train	True	dev
659	العصر-الجاهلي_الفارعة-بنت-معاوية_شفى-الله-نفسي-من-معشر_001	العصر-الجاهلي	34	dev	True	train
661	العصر-الاموي_يزيد-بن-معاوية_ألا-يا-صاح-للعجب_001	العصر-الاموي	26	train	True	dev
700	العصر-العثماني_الهبل_واسوء-حالي-في-غد_001	العصر-العثماني	34	train	True	train
751	العصر-الايوبي_الأبله-البغدادي_يا-رب-لا-تحوج-أخا_001	العصر-الايوبي	35	dev	True	train
779	العصر-الاموي_سراقة-البارقي_أقاتل-مهديا-وتلك-سفاهة_001	العصر-الاموي	35	train	True	train
787	العصر-العباسي_ابن-عبد-ربه_أطفت-شرارة-لهوي_001	العصر-العباسي	25	train	True	test
809	العصر-الايوبي_محيي-الدين-بن-عربي_أقول-لما-أن-بدا_001	العصر-الايوبي	26	train	True	dev
854	العصر-الاموي_الوليد-بن-يزيد_علل-القوم-قليلا_001	العصر-الاموي	26	train	True	dev
917	العصر-العباسي_ابو-العتاهية_اصبر-على-نوب-الزمان_001	العصر-العباسي	29	train	True	train
979	العصر-الايوبي_فتيان-الشاغوري_من-شاء-أن-يعافى_001	العصر-الايوبي	23	train	True	dev
1017	المخضرمون_عمرو-بن-معد-يكرب_أرقت-وأمسيت-لا-أرقد_001	المخضرمون	28	train	True	dev
1020	العصر-العثماني_الامير-منجك-باشا_هاك-طفلا-أراكه-الله-جدا_001	العصر-العثماني	36	train	True	train
