	id	text	source	doc_name	split	paragraph_id	sent_id_in_paragraph	word_count	new_split
0	305001001001	الرحمن ( 1 )	Quran	Quran_Ar-Rahman_55	No Split	1	1	4	train
1	305001001002	علم القرءان ( 2 )	Quran	Quran_Ar-Rahman_55	No Split	1	2	5	train
2	305001001003	خلق الإنسن ( 3 )	Quran	Quran_Ar-Rahman_55	No Split	1	3	5	train
3	305001001004	علمه البيان ( 4 )	Quran	Quran_Ar-Rahman_55	No Split	1	4	5	train
4	305001001005	الشمس والقمر بحسبان ( 5 )	Quran	Quran_Ar-Rahman_55	No Split	1	5	6	train
5	305001001006	والنجم والشجر يسجدان ( 6 )	Quran	Quran_Ar-Rahman_55	No Split	1	6	6	train
6	305001001007	والسماء رفعها ووضع الميزان ( 7 )	Quran	Quran_Ar-Rahman_55	No Split	1	7	7	train
7	305001001008	ألا تطغوا فى الميزان ( 8 )	Quran	Quran_Ar-Rahman_55	No Split	1	8	7	train
8	305001001009	وأقيموا الوزن بالقسط ولا تخسروا الميزان ( 9 )	Quran	Quran_Ar-Rahman_55	No Split	1	9	9	train
9	305001001010	والأرض وضعها للأنام ( 10 )	Quran	Quran_Ar-Rahman_55	No Split	1	10	6	train
10	305001001011	فيها فكهة والنخل ذات الأكمام ( 11 )	Quran	Quran_Ar-Rahman_55	No Split	1	11	8	train
11	305001001012	والحب ذو العصف والريحان ( 12 )	Quran	Quran_Ar-Rahman_55	No Split	1	12	7	train
12	305001001013	فبأى ءالاء ربكما تكذبان ( 13 )	Quran	Quran_Ar-Rahman_55	No Split	1	13	7	train
13	305001001014	خلق الإنسن من صلصل كالفخار ( 14 )	Quran	Quran_Ar-Rahman_55	No Split	1	14	8	train
14	305001001015	وخلق الجان من مارج من نار ( 15 )	Quran	Quran_Ar-Rahman_55	No Split	1	15	9	train
15	305001001016	فبأى ءالاء ربكما تكذبان ( 16 )	Quran	Quran_Ar-Rahman_55	No Split	1	16	7	train
16	305001001017	رب المشرقين ورب المغربين ( 17 )	Quran	Quran_Ar-Rahman_55	No Split	1	17	7	train
17	305001001018	فبأى ءالاء ربكما تكذبان ( 18 )	Quran	Quran_Ar-Rahman_55	No Split	1	18	7	train
18	305001001019	مرج البحرين يلتقيان ( 19 )	Quran	Quran_Ar-Rahman_55	No Split	1	19	6	train
19	305001001020	بينهما برزخ لا يبغيان ( 20 )	Quran	Quran_Ar-Rahman_55	No Split	1	20	7	train
20	305001001021	فبأى ءالاء ربكما تكذبان ( 21 )	Quran	Quran_Ar-Rahman_55	No Split	1	21	7	train
21	305001001022	يخرج منهما اللؤلؤ والمرجان ( 22 )	Quran	Quran_Ar-Rahman_55	No Split	1	22	7	train
22	305001001023	فبأى ءالاء ربكما تكذبان ( 23 )	Quran	Quran_Ar-Rahman_55	No Split	1	23	7	train
23	305001001024	وله الجوار المنشات فى البحر كالأعلم ( 24 )	Quran	Quran_Ar-Rahman_55	No Split	1	24	9	train
24	305001001025	فبأى ءالاء ربكما تكذبان ( 25 )	Quran	Quran_Ar-Rahman_55	No Split	1	25	7	train
25	305001001026	كل من عليها فان ( 26 )	Quran	Quran_Ar-Rahman_55	No Split	1	26	7	train
26	305001001027	ويبقى وجه ربك ذو الجلل والإكرام ( 27 )	Quran	Quran_Ar-Rahman_55	No Split	1	27	9	train
27	305001001028	فبأى ءالاء ربكما تكذبان ( 28 )	Quran	Quran_Ar-Rahman_55	No Split	1	28	7	train
28	305001001029	يسله من فى السموت والأرض كل يوم هو فى شأن ( 29 )	Quran	Quran_Ar-Rahman_55	No Split	1	29	13	train
29	305001001030	فبأى ءالاء ربكما تكذبان ( 30 )	Quran	Quran_Ar-Rahman_55	No Split	1	30	7	train
30	305001001031	سنفرغ لكم أيه الثقلان ( 31 )	Quran	Quran_Ar-Rahman_55	No Split	1	31	7	train
31	305001001032	فبأى ءالاء ربكما تكذبان ( 32 )	Quran	Quran_Ar-Rahman_55	No Split	1	32	7	train
32	305001001033	يمعشر الجن والإنس إن استطعتم أن تنفذوا من أقطار السموت والأرض فانفذوا لا تنفذون إلا بسلطن ( 33 )	Quran	Quran_Ar-Rahman_55	No Split	1	33	19	train
33	305001001034	فبأى ءالاء ربكما تكذبان ( 34 )	Quran	Quran_Ar-Rahman_55	No Split	1	34	7	train
34	305001001035	يرسل عليكما شواظ من نار ونحاس فلا تنتصران ( 35 )	Quran	Quran_Ar-Rahman_55	No Split	1	35	11	train
35	305001001036	فبأى ءالاء ربكما تكذبان ( 36 )	Quran	Quran_Ar-Rahman_55	No Split	1	36	7	train
36	305001001037	فإذا انشقت السماء فكانت وردة كالدهان ( 37 )	Quran	Quran_Ar-Rahman_55	No Split	1	37	9	train
37	305001001038	فبأى ءالاء ربكما تكذبان ( 38 )	Quran	Quran_Ar-Rahman_55	No Split	1	38	7	train
38	305001001039	فيومئذ لا يسل عن ذنبه إنس ولا جان ( 39 )	Quran	Quran_Ar-Rahman_55	No Split	1	39	11	train
39	305001001040	فبأى ءالاء ربكما تكذبان ( 40 )	Quran	Quran_Ar-Rahman_55	No Split	1	40	7	train
40	305001001041	يعرف المجرمون بسيمهم فيؤخذ بالنوصى والأقدام ( 41 )	Quran	Quran_Ar-Rahman_55	No Split	1	41	9	train
