task	source	baseline	precision	recall	f1
a_to_c	ALC	paragraph_breaks_only	1.0	0.09836065573770492	0.1791044776119403
a_to_c	Arabian Nights	paragraph_breaks_only	1.0	0.053691275167785234	0.10191082802547771
a_to_c	ArabicMMLU	paragraph_breaks_only	1.0	0.21341463414634146	0.35175879396984927
a_to_c	BTEC	paragraph_breaks_only	1.0	1.0	1.0
a_to_c	Curriculum	paragraph_breaks_only	1.0	0.7378942692136828	0.8491820040899796
a_to_c	Diwan	paragraph_breaks_only	1.0	1.0	1.0
a_to_c	Green Library	paragraph_breaks_only	1.0	0.4155844155844156	0.5871559633027523
a_to_c	Hadith	paragraph_breaks_only	1.0	0.041237113402061855	0.07920792079207921
a_to_c	Hanging Odes	paragraph_breaks_only	1.0	1.0	1.0
a_to_c	Hayy ibn Yaqdhan	paragraph_breaks_only	1.0	0.3081081081081081	0.47107438016528924
a_to_c	Hindawi	paragraph_breaks_only	1.0	0.44135506551613934	0.6124168514412417
a_to_c	Kalima	paragraph_breaks_only	1.0	0.40625	0.5777777777777777
a_to_c	Majed	paragraph_breaks_only	1.0	0.5803497085761865	0.7344573234984194
a_to_c	New Testament	paragraph_breaks_only	1.0	0.1630901287553648	0.28044280442804426
a_to_c	Old Testament	paragraph_breaks_only	1.0	0.20568927789934355	0.3411978221415608
a_to_c	QALB	paragraph_breaks_only	1.0	0.22535211267605634	0.367816091954023
a_to_c	Quran	paragraph_breaks_only	1.0	0.017716535433070866	0.03481624758220503
a_to_c	Sara	paragraph_breaks_only	1.0	0.7544378698224852	0.8600337268128162
a_to_c	Spacetoon Songs	paragraph_breaks_only	1.0	1.0	1.0
a_to_c	Suleiman Al Issa	paragraph_breaks_only	1.0	1.0	1.0
a_to_c	WikiNews	paragraph_breaks_only	1.0	0.389937106918239	0.5610859728506787
a_to_c	Wikipedia	paragraph_breaks_only	1.0	0.25100401606425704	0.4012841091492777
a_to_c	ZAEBUC	paragraph_breaks_only	1.0	0.13333333333333333	0.23529411764705882
a_to_c	chatGPT	paragraph_breaks_only	1.0	1.0	1.0
a_to_c	ALC	punkt	0.9333333333333333	0.45901639344262296	0.6153846153846154
a_to_c	Arabian Nights	punkt	1.0	0.14093959731543623	0.24705882352941178
a_to_c	ArabicMMLU	punkt	0.37479541734860883	0.0821377331420373	0.1347455133862901
a_to_c	BTEC	punkt	0.8008849557522124	0.6156462585034014	0.6961538461538461
a_to_c	Curriculum	punkt	0.9602385685884692	0.4291426032874278	0.5931839115750691
a_to_c	Diwan	punkt	1.0	0.24696707105719237	0.39610840861709523
a_to_c	Green Library	punkt	1.0	0.5844155844155844	0.7377049180327869
a_to_c	Hadith	punkt	1.0	0.28350515463917525	0.44176706827309237
a_to_c	Hanging Odes	punkt	1.0	0.015625	0.03076923076923077
a_to_c	Hayy ibn Yaqdhan	punkt	1.0	0.41621621621621624	0.5877862595419847
a_to_c	Hindawi	punkt	0.8471849865951743	0.6059443911792906	0.7065399664617105
a_to_c	Kalima	punkt	0.9113924050632911	0.6428571428571429	0.7539267015706806
a_to_c	Majed	punkt	0.42569759896171316	0.5462114904246461	0.4784828592268417
a_to_c	New Testament	punkt	0.6956521739130435	0.7553648068669528	0.7242798353909465
a_to_c	Old Testament	punkt	0.7074829931972789	0.9102844638949672	0.7961722488038278
a_to_c	QALB	punkt	0.775	0.6549295774647887	0.7099236641221374
a_to_c	Quran	punkt	1.0	0.017716535433070866	0.03481624758220503
a_to_c	Sara	punkt	0.6023622047244095	0.4526627218934911	0.5168918918918919
a_to_c	Spacetoon Songs	punkt	0.6923076923076923	0.32142857142857145	0.43902439024390244
a_to_c	Suleiman Al Issa	punkt	0.2	0.04	0.06666666666666667
a_to_c	WikiNews	punkt	0.963302752293578	0.660377358490566	0.7835820895522388
a_to_c	Wikipedia	punkt	0.9370277078085643	0.7469879518072289	0.8312849162011173
a_to_c	ZAEBUC	punkt	0.9550561797752809	0.5151515151515151	0.6692913385826772
a_to_c	chatGPT	punkt	1.0	1.0	1.0
a_to_c	ALC	pysbd	0.9393939393939394	0.5081967213114754	0.6595744680851063
a_to_c	Arabian Nights	pysbd	0.47058823529411764	0.1610738255033557	0.24
a_to_c	ArabicMMLU	pysbd	0.6602870813397129	0.148493543758967	0.2424597364568082
a_to_c	BTEC	pysbd	0.8571428571428571	1.0	0.9230769230769231
a_to_c	Curriculum	pysbd	0.817658349328215	0.567747667703243	0.670162558993183
a_to_c	Diwan	pysbd	0.9930313588850174	0.24696707105719237	0.39555863983344897
a_to_c	Green Library	pysbd	0.734375	0.6103896103896104	0.6666666666666666
a_to_c	Hadith	pysbd	0.9803921568627451	0.25773195876288657	0.40816326530612246
a_to_c	Hanging Odes	pysbd	0.6666666666666666	0.03125	0.05970149253731343
a_to_c	Hayy ibn Yaqdhan	pysbd	0.9375	0.40540540540540543	0.5660377358490566
a_to_c	Hindawi	pysbd	0.788911495422177	0.4956855225311601	0.6088321884200196
a_to_c	Kalima	pysbd	0.8103448275862069	0.6294642857142857	0.7085427135678392
a_to_c	Majed	pysbd	0.4974160206718346	0.6411323896752706	0.56020371044016
a_to_c	New Testament	pysbd	0.4369602763385147	0.5429184549356223	0.4842105263157895
a_to_c	Old Testament	pysbd	0.54858934169279	0.7658643326039387	0.639269406392694
a_to_c	QALB	pysbd	0.8650793650793651	0.7676056338028169	0.8134328358208955
a_to_c	Quran	pysbd	1.0	0.017716535433070866	0.03481624758220503
a_to_c	Sara	pysbd	0.792	0.5857988165680473	0.673469387755102
a_to_c	Spacetoon Songs	pysbd	0.6923076923076923	0.32142857142857145	0.43902439024390244
a_to_c	Suleiman Al Issa	pysbd	0.6875	0.11	0.1896551724137931
a_to_c	WikiNews	pysbd	0.9805825242718447	0.6352201257861635	0.7709923664122137
a_to_c	Wikipedia	pysbd	0.8063157894736842	0.7690763052208835	0.7872559095580678
a_to_c	ZAEBUC	pysbd	0.9882352941176471	0.509090909090909	0.672
a_to_c	chatGPT	pysbd	1.0	1.0	1.0
a_to_c	ALC	sentencizer	0.9393939393939394	0.5081967213114754	0.6595744680851063
a_to_c	Arabian Nights	sentencizer	1.0	0.14093959731543623	0.24705882352941178
a_to_c	ArabicMMLU	sentencizer	0.10687022900763359	0.015064562410329985	0.026406790317510215
a_to_c	BTEC	sentencizer	0.8596491228070176	1.0	0.9245283018867925
a_to_c	Curriculum	sentencizer	0.9400406504065041	0.41092847623278544	0.5718701700154559
a_to_c	Diwan	sentencizer	1.0	0.24696707105719237	0.39610840861709523
a_to_c	Green Library	sentencizer	1.0	0.6103896103896104	0.7580645161290323
a_to_c	Hadith	sentencizer	1.0	0.28350515463917525	0.44176706827309237
a_to_c	Hanging Odes	sentencizer	0.6666666666666666	0.03125	0.05970149253731343
a_to_c	Hayy ibn Yaqdhan	sentencizer	1.0	0.41621621621621624	0.5877862595419847
a_to_c	Hindawi	sentencizer	0.9342105263157895	0.6126558005752637	0.740011580775912
a_to_c	Kalima	sentencizer	0.9119496855345912	0.6473214285714286	0.7571801566579635
a_to_c	Majed	sentencizer	0.8061336254107339	0.6128226477935054	0.6963103122043519
a_to_c	New Testament	sentencizer	0.6950998185117967	0.8218884120171673	0.7531956735496559
a_to_c	Old Testament	sentencizer	0.6945812807881774	0.925601750547046	0.7936210131332082
a_to_c	QALB	sentencizer	0.9736842105263158	0.7816901408450704	0.8671875
a_to_c	Quran	sentencizer	1.0	0.017716535433070866	0.03481624758220503
a_to_c	Sara	sentencizer	0.9282700421940928	0.650887573964497	0.7652173913043478
a_to_c	Spacetoon Songs	sentencizer	0.5666666666666667	0.20238095238095238	0.2982456140350877
a_to_c	Suleiman Al Issa	sentencizer	0.875	0.07	0.12962962962962962
a_to_c	WikiNews	sentencizer	0.9906542056074766	0.6666666666666666	0.7969924812030075
a_to_c	Wikipedia	sentencizer	0.9465648854961832	0.7469879518072289	0.835016835016835
a_to_c	ZAEBUC	sentencizer	1.0	0.5151515151515151	0.68
a_to_c	chatGPT	sentencizer	1.0	1.0	1.0
b_to_c	ALC	punkt	0.9375	0.4918032786885246	0.6451612903225806
b_to_c	Arabian Nights	punkt	1.0	0.15436241610738255	0.26744186046511625
b_to_c	ArabicMMLU	punkt	0.6726804123711341	0.28084648493543757	0.39625506072874495
b_to_c	BTEC	punkt	0.8672566371681416	1.0	0.9289099526066351
b_to_c	Curriculum	punkt	0.9791231732776617	0.8334073745002222	0.900407967362611
b_to_c	Diwan	punkt	1.0	1.0	1.0
b_to_c	Green Library	punkt	1.0	0.6883116883116883	0.8153846153846154
b_to_c	Hadith	punkt	1.0	0.28350515463917525	0.44176706827309237
b_to_c	Hanging Odes	punkt	1.0	1.0	1.0
b_to_c	Hayy ibn Yaqdhan	punkt	1.0	0.43783783783783786	0.6090225563909775
b_to_c	Hindawi	punkt	0.8836413415468857	0.8251837647810802	0.8534126590646174
b_to_c	Kalima	punkt	0.949748743718593	0.84375	0.8936170212765957
b_to_c	Majed	punkt	0.5381002087682673	0.858451290591174	0.6615335258261148
b_to_c	New Testament	punkt	0.6986301369863014	0.7660944206008584	0.7308085977482088
b_to_c	Old Testament	punkt	0.7084745762711865	0.9146608315098468	0.7984718242597899
b_to_c	QALB	punkt	0.7886178861788617	0.6830985915492958	0.7320754716981132
b_to_c	Quran	punkt	1.0	0.017716535433070866	0.03481624758220503
b_to_c	Sara	punkt	0.7162921348314607	0.7544378698224852	0.7348703170028819
b_to_c	Spacetoon Songs	punkt	0.875	1.0	0.9333333333333333
b_to_c	Suleiman Al Issa	punkt	0.8620689655172413	1.0	0.9259259259259259
b_to_c	WikiNews	punkt	0.9666666666666667	0.7295597484276729	0.8315412186379928
b_to_c	Wikipedia	punkt	0.9453302961275627	0.8333333333333334	0.8858057630736392
b_to_c	ZAEBUC	punkt	0.9560439560439561	0.5272727272727272	0.6796875
b_to_c	chatGPT	punkt	1.0	1.0	1.0
b_to_c	ALC	pysbd	0.9428571428571428	0.5409836065573771	0.6875
b_to_c	Arabian Nights	pysbd	0.49056603773584906	0.174496644295302	0.25742574257425743
b_to_c	ArabicMMLU	pysbd	0.817104149026249	0.34612625538020086	0.48626858150667673
